RowIndex,ReportingUnit,ReportingUnitName,DAUNumber,CoNumber,Name_ID,DAUName,CoName
1,DAU06435,DAU06435,64,35,DAU06435 : San Benito River - San Benito,San Benito River,San Benito
2,DAU33633,DAU33633,336,33,DAU33633 : Pinto - Riverside,Pinto,Riverside
3,DAU34633,DAU34633,346,33,DAU34633 : Arroyo Seco - Colorado River - Riverside,Arroyo Seco - Colorado River,Riverside
10,DAU15629,DAU15629,156,29,DAU15629 : Yuba-Bear Rivers - Nevada,Yuba-Bear Rivers,Nevada
11,DAU29236,DAU29236,292,36,DAU29236 : Owlshead - San Bernardino,Owlshead,San Bernardino
15,DAU33236,DAU33236,332,36,DAU33236 : Ward - San Bernardino,Ward,San Bernardino
16,DAU25316,DAU25316,253,16,DAU25316 : Temblor - Kings,Temblor,Kings
17,DAU19722,DAU19722,197,22,DAU19722 : Merced River - Mariposa,Merced River,Mariposa
18,DAU23816,DAU23816,238,16,DAU23816 : Hanford-Lemoore - Kings,Hanford-Lemoore,Kings
22,DAU28414,DAU28414,284,14,DAU28414 : Race Track - Inyo,Race Track,Inyo
23,DAU05927,DAU05927,59,27,DAU05927 : Watsonville - Monterey,Watsonville,Monterey
24,DAU17517,DAU17517,175,17,DAU17517 : Putah Creek - Lake,Putah Creek,Lake
26,DAU05227,DAU05227,52,27,DAU05227 : Monterey Peninsula - Monterey,Monterey Peninsula,Monterey
27,DAU00147,DAU00147,1,47,DAU00147 : Lost River - Siskiyou,Lost River,Siskiyou
28,DAU19822,DAU19822,198,22,DAU19822 : Tuolumne-Merced Interstream - Mariposa,Tuolumne-Merced Interstream,Mariposa
32,DAU34713,DAU34713,347,13,DAU34713 : Yuma - Imperial,Yuma,Imperial
35,DAU01949,DAU01949,19,49,DAU01949 : Gualala - Sonoma,Gualala,Sonoma
36,DAU13425,DAU13425,134,25,DAU13425 : MacArthur-Hat Creek - Modoc,MacArthur-Hat Creek,Modoc
37,DAU02323,DAU02323,23,23,DAU02323 : South Fork Eel - Mendocino,South Fork Eel,Mendocino
39,DAU03821,DAU03821,38,21,DAU03821 : West Marin - Marin,West Marin,Marin
40,DAU29836,DAU29836,298,36,DAU29836 : Panamint - San Bernardino,Panamint,San Bernardino
42,DAU26218,DAU26218,262,18,DAU26218 : Surprise Valley - Lassen,Surprise Valley,Lassen
43,DAU33336,DAU33336,333,36,DAU33336 : Rice - San Bernardino,Rice,San Bernardino
44,DAU14552,DAU14552,145,52,DAU14552 : Cow-Battle Creek - Tehama,Cow-Battle Creek,Tehama
50,DAU19555,DAU19555,195,55,DAU19555 : Tuolumne River - Tuolumne,Tuolumne River,Tuolumne
63,DAU29136,DAU29136,291,36,DAU29136 : Ivanpah - San Bernardino,Ivanpah,San Bernardino
66,DAU04543,DAU04543,45,43,DAU04543 : Livermore - Santa Clara,Livermore,Santa Clara
70,DAU35033,DAU35033,350,33,DAU35033 : Clark - Riverside,Clark,Riverside
72,DAU17609,DAU17609,176,9,DAU17609 : Consumnes-Mokelumne-Calaveras - El Dorado,Consumnes-Mokelumne-Calaveras,El Dorado
73,DAU29636,DAU29636,296,36,DAU29636 : Goldstone - San Bernardino,Goldstone,San Bernardino
78,DAU18657,DAU18657,186,57,DAU18657 : Sacramento Delta - Yolo,Sacramento Delta,Yolo
80,DAU09633,DAU09633,96,33,DAU09633 : Orange - Riverside,Orange,Riverside
88,DAU21639,DAU21639,216,39,DAU21639 : West Side - San Joaquin,West Side,San Joaquin
89,DAU00447,DAU00447,4,47,DAU00447 : Shasta Valley - Siskiyou,Shasta Valley,Siskiyou
90,DAU14352,DAU14352,143,52,DAU14352 : Redding East - Tehama,Redding East,Tehama
91,DAU17004,DAU17004,170,4,DAU17004 : Honcut Valley - Butte,Honcut Valley,Butte
92,DAU22854,DAU22854,228,54,DAU22854 : Poso Creek - Tulare,Poso Creek,Tulare
96,DAU26809,DAU26809,268,9,DAU26809 : Truckee-Tahoe - El Dorado,Truckee-Tahoe,El Dorado
97,DAU17634,DAU17634,176,34,DAU17634 : Consumnes-Mokelumne-Calaveras - Sacramento,Consumnes-Mokelumne-Calaveras,Sacramento
98,DAU40449,DAU40449,404,49,DAU40449 : Middle Russian - Sonoma,Middle Russian,Sonoma
99,DAU28026,DAU28026,280,26,DAU28026 : Fish Lake - Mono,Fish Lake,Mono
